id,split,audio_path,original_name,source,voice,language,transcript_asr,text,intent,canonical_text,hash,duration
cmd_0063,train,data/dataset_curated/audio/cmd_0063.mp3,speechma_audio_Remy Russian_at_6_09_39 AM_on_June_6th_2026.mp3,speechma,Remy Russian,ru,,,,,BCFFDDD151C2829035BF93B0862C58B379E583163449416390DF774C44C5BDE8,00:00:02
cmd_0064,train,data/dataset_curated/audio/cmd_0064.mp3,speechma_audio_Remy Russian_at_6_15_08 AM_on_June_6th_2026.mp3,speechma,Remy Russian,ru,,,,,439520E419BBD00EB02DDE09CEBAF4B824AD61CF1BB9473152B2DC0F208C9359,00:00:02
cmd_0065,train,data/dataset_curated/audio/cmd_0065.mp3,speechma_audio_Remy Russian_at_6_15_48 AM_on_June_6th_2026.mp3,speechma,Remy Russian,ru,,,,,AF267C4E14FF550A338F1ACF62FDF0CF1E885F1525B835E66AEF220A69FBF2F9,00:00:02
cmd_0066,train,data/dataset_curated/audio/cmd_0066.mp3,speechma_audio_Remy Russian_at_6_20_21 AM_on_June_6th_2026.mp3,speechma,Remy Russian,ru,,,,,838958B37BE4DED1193274357DDC64D6FF00F776BEEE6223518126BCEE94DCBC,00:00:02
cmd_0067,train,data/dataset_curated/audio/cmd_0067.mp3,speechma_audio_Seraphina Russian_at_6_15_02 AM_on_June_6th_2026.mp3,speechma,Seraphina Russian,ru,,,,,D3925E2A489749EBC7C9A2BFDEE8B62B3D0309E8479A36B89606435723B89ECA,00:00:02
cmd_0068,train,data/dataset_curated/audio/cmd_0068.mp3,speechma_audio_Seraphina Russian_at_6_15_09 AM_on_June_6th_2026.mp3,speechma,Seraphina Russian,ru,,,,,9A1DF97C2DEFC321F3F4934376D8A5122652A7D092B0A9927CCC360AFC6CAE4E,00:00:02
cmd_0069,val,data/dataset_curated/audio/cmd_0069.mp3,speechma_audio_Seraphina Russian_at_6_15_38 AM_on_June_6th_2026.mp3,speechma,Seraphina Russian,ru,,,,,95098A36C6264480D0FC56E5EB7427CD64859C129B7E49ECD2DA16EFF247EB44,00:00:02
cmd_0070,val,data/dataset_curated/audio/cmd_0070.mp3,speechma_audio_Seraphina Russian_at_6_15_49 AM_on_June_6th_2026.mp3,speechma,Seraphina Russian,ru,,,,,3C5F4BD3D05B677E78A794320CB22FC48DBAC86194D00CC3900CF474CF82587A,00:00:02
cmd_0071,val,data/dataset_curated/audio/cmd_0071.mp3,speechma_audio_Svetlana_at_6_15_03 AM_on_June_6th_2026.mp3,speechma,Svetlana,ru,,,,,C463F2CB44E33CFDE932A83DED628C6606376E76942A6A8538C72210DD6BA8CC,00:00:02
cmd_0072,val,data/dataset_curated/audio/cmd_0072.mp3,speechma_audio_Svetlana_at_6_15_22 AM_on_June_6th_2026.mp3,speechma,Svetlana,ru,,,,,AC69302BD93FDBBFB7A209DC98688D0A70075149B5D4CBCDD2D2F1693A687E9B,00:00:02
cmd_0073,val,data/dataset_curated/audio/cmd_0073.mp3,speechma_audio_Svetlana_at_6_15_35 AM_on_June_6th_2026.mp3,speechma,Svetlana,ru,,,,,05F17EEDC823D9549EC6D7F3DBF08FBD675FFB464CA3216367D9C0B76532B525,00:00:02
cmd_0074,val,data/dataset_curated/audio/cmd_0074.mp3,speechma_audio_Svetlana_at_6_15_40 AM_on_June_6th_2026.mp3,speechma,Svetlana,ru,,,,,364038AC12643054D01BBCE8EEF27FAE8BEB58BBB02863D27C8AFBBA6ACB82A8,00:00:02
cmd_0075,val,data/dataset_curated/audio/cmd_0075.mp3,speechma_audio_Svetlana_at_6_15_46 AM_on_June_6th_2026.mp3,speechma,Svetlana,ru,,,,,3C9622B92C2FC0ADFA7F2FE3A37A29A50786AAAAE5A1E6532FDE611F3649D35D,00:00:02
cmd_0076,val,data/dataset_curated/audio/cmd_0076.mp3,speechma_audio_Thalita Russian_at_6_15_42 AM_on_June_6th_2026.mp3,speechma,Thalita Russian,ru,,,,,88D7786E07DD85F9F09BCA0D36FE0D0DD5A19D32C408606B1993909D3B6E2873,00:00:02
cmd_0077,test,data/dataset_curated/audio/cmd_0077.mp3,speechma_audio_Thalita Russian_at_6_16_03 AM_on_June_6th_2026.mp3,speechma,Thalita Russian,ru,,,,,F1883A0B62114E945A703777E4843F7A1381760D6A3652752A8D9D5EBE55DA01,00:00:02
cmd_0078,test,data/dataset_curated/audio/cmd_0078.mp3,speechma_audio_Vivienne Russian_at_5_52_04 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,1CBF914F9956EA8EDAC8D1351B1DCE53859CDCF6F9D751F66F9D7B5BFF39718E,00:00:02
cmd_0079,test,data/dataset_curated/audio/cmd_0079.mp3,speechma_audio_Vivienne Russian_at_5_59_31 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,E0FB24CE2F4A17BEAA5B58173446F2EBC70D95459DCD4635B5A8D68B72162C1E,00:00:01
cmd_0080,test,data/dataset_curated/audio/cmd_0080.mp3,speechma_audio_Vivienne Russian_at_6_01_43 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,70770E09FC8748AEE0D453840DE7427FA8C1CAE7CC4D037526AEE34FF16C6E08,00:00:02
cmd_0081,test,data/dataset_curated/audio/cmd_0081.mp3,speechma_audio_Vivienne Russian_at_6_06_48 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,E9BEF21DEFDDA6D103BC69F2C678554FF7E676BB90865E470F1266B316161C82,00:00:02
cmd_0082,test,data/dataset_curated/audio/cmd_0082.mp3,speechma_audio_Vivienne Russian_at_6_10_07 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,E5763EBFB7E843432594D50BEE329C9F36C2ABA98A844EBF0FF494628295F380,00:00:01
cmd_0083,test,data/dataset_curated/audio/cmd_0083.mp3,speechma_audio_Vivienne Russian_at_6_10_54 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,BB51E878041AA8A1DD21A89841B8E43A15EF1E8846E8A5EB25B929EBC633446D,00:00:02
cmd_0084,test,data/dataset_curated/audio/cmd_0084.mp3,speechma_audio_Vivienne Russian_at_6_11_20 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,E7064FCAC2CDF85E939151D6D57FB0402D55E579CB7449CB3FBF19ECC542B16B,00:00:01
cmd_0085,test,data/dataset_curated/audio/cmd_0085.mp3,speechma_audio_Vivienne Russian_at_6_13_34 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,7D19DAC81FBE1D6117ABF4BCDC9B940483B6A4AF56BAFB94833399635B91152A,00:00:01
cmd_0086,test,data/dataset_curated/audio/cmd_0086.mp3,speechma_audio_Vivienne Russian_at_6_15_29 AM_on_June_6th_2026.mp3,speechma,Vivienne Russian,ru,,,,,E5C36C5FEF8E37EB40D5650D816D711E03373B627673EEE6C6F5162D7E5AF531,00:00:01
